Country,Pollution_Label,Pollution_Index,Pollution_Qualifier
Iraq,Water Pollution,"63.37
High",High
Iraq,Dissatisfaction with Spending Time in the City,"55.34
Moderate",Moderate
Iraq,Dissatisfaction with Green and Parks in the City,"60.00
High",High
Ireland,Air Pollution,"25.12
Low",Low
Ireland,Drinking Water Pollution and Inaccessibility,"28.29
Low",Low
Ireland,Dissatisfaction with Garbage Disposal,"38.97
Low",Low
Ireland,Dirty and Untidy,"48.14
Moderate",Moderate
Ireland,Noise and Light Pollution,"37.99
Low",Low
Ireland,Water Pollution,"38.15
Low",Low
Ireland,Dissatisfaction with Spending Time in the City,"22.57
Low",Low
Ireland,Dissatisfaction with Green and Parks in the City,"28.49
Low",Low
Isle_Of_Man,Air Pollution,"13.24
Very Low",Very Low
Isle_Of_Man,Drinking Water Pollution and Inaccessibility,"11.76
Very Low",Very Low
Isle_Of_Man,Dissatisfaction with Garbage Disposal,"22.06
Low",Low
Isle_Of_Man,Dirty and Untidy,"30.88
Low",Low
Isle_Of_Man,Noise and Light Pollution,"11.76
Very Low",Very Low
Isle_Of_Man,Water Pollution,"13.24
Very Low",Very Low
Isle_Of_Man,Dissatisfaction with Spending Time in the City,"16.67
Very Low",Very Low
Isle_Of_Man,Dissatisfaction with Green and Parks in the City,"22.06
Low",Low
Israel,Air Pollution,"61.22
High",High
Israel,Drinking Water Pollution and Inaccessibility,"28.84
Low",Low
Israel,Dissatisfaction with Garbage Disposal,"39.35
Low",Low
Israel,Dirty and Untidy,"50.10
Moderate",Moderate
Israel,Noise and Light Pollution,"50.53
Moderate",Moderate
Israel,Water Pollution,"36.69
Low",Low
Israel,Dissatisfaction with Spending Time in the City,"43.71
Moderate",Moderate
Israel,Dissatisfaction with Green and Parks in the City,"37.19
Low",Low
Italy,Air Pollution,"50.26
Moderate",Moderate
Italy,Drinking Water Pollution and Inaccessibility,"30.42
Low",Low
Italy,Dissatisfaction with Garbage Disposal,"49.10
Moderate",Moderate
Italy,Dirty and Untidy,"54.18
Moderate",Moderate
Italy,Noise and Light Pollution,"47.66
Moderate",Moderate
Italy,Water Pollution,"39.46
Low",Low
Italy,Dissatisfaction with Spending Time in the City,"43.30
Moderate",Moderate
Italy,Dissatisfaction with Green and Parks in the City,"46.08
Moderate",Moderate
Ivory_Coast,Air Pollution,"87.50
Very High",Very High
Ivory_Coast,Drinking Water Pollution and Inaccessibility,"62.50
High",High
Ivory_Coast,Dissatisfaction with Garbage Disposal,"76.04
High",High
Ivory_Coast,Dirty and Untidy,"79.17
High",High
Ivory_Coast,Noise and Light Pollution,"75.00
High",High
Ivory_Coast,Water Pollution,"82.14
Very High",Very High
Ivory_Coast,Dissatisfaction with Spending Time in the City,"82.61
Very High",Very High
Ivory_Coast,Dissatisfaction with Green and Parks in the City,"78.41
High",High
Jamaica,Air Pollution,"53.88
Moderate",Moderate
Jamaica,Drinking Water Pollution and Inaccessibility,"43.24
Moderate",Moderate
Jamaica,Dissatisfaction with Garbage Disposal,"69.88
High",High
Jamaica,Dirty and Untidy,"72.92
High",High
Jamaica,Noise and Light Pollution,"55.00
Moderate",Moderate
Jamaica,Water Pollution,"63.95
High",High
Jamaica,Dissatisfaction with Spending Time in the City,"59.11
Moderate",Moderate
Jamaica,Dissatisfaction with Green and Parks in the City,"53.90
Moderate",Moderate
Japan,Air Pollution,"33.63
Low",Low
Japan,Drinking Water Pollution and Inaccessibility,"26.78
Low",Low
Japan,Dissatisfaction with Garbage Disposal,"29.35
Low",Low
Japan,Dirty and Untidy,"25.86
Low",Low
Japan,Noise and Light Pollution,"43.86
Moderate",Moderate
Japan,Water Pollution,"36.77
Low",Low
Japan,Dissatisfaction with Spending Time in the City,"31.25
Low",Low
Japan,Dissatisfaction with Green and Parks in the City,"35.26
Low",Low
Jersey,Air Pollution,"25.00
Low",Low
Jersey,Drinking Water Pollution and Inaccessibility,"25.00
Low",Low
Jersey,Dissatisfaction with Garbage Disposal,"20.83
Low",Low
Jersey,Dirty and Untidy,"16.67
Very Low",Very Low
Jersey,Noise and Light Pollution,"25.00
Low",Low
Jersey,Water Pollution,"20.83
Low",Low
Jersey,Dissatisfaction with Spending Time in the City,"16.67
Very Low",Very Low
Jersey,Dissatisfaction with Green and Parks in the City,"25.00
Low",Low
Jordan,Air Pollution,"67.50
High",High
Jordan,Drinking Water Pollution and Inaccessibility,"54.43
Moderate",Moderate
Jordan,Dissatisfaction with Garbage Disposal,"69.16
High",High
Jordan,Dirty and Untidy,"67.77
High",High
Jordan,Noise and Light Pollution,"62.01
High",High
Jordan,Water Pollution,"63.24
High",High
Jordan,Dissatisfaction with Spending Time in the City,"64.16
High",High
Jordan,Dissatisfaction with Green and Parks in the City,"82.85
Very High",Very High
Kazakhstan,Air Pollution,"77.19
High",High
Kazakhstan,Drinking Water Pollution and Inaccessibility,"44.13
Moderate",Moderate
Kazakhstan,Dissatisfaction with Garbage Disposal,"61.56
High",High
Kazakhstan,Dirty and Untidy,"52.40
Moderate",Moderate
Kazakhstan,Noise and Light Pollution,"48.36
Moderate",Moderate
Kazakhstan,Water Pollution,"53.12
Moderate",Moderate
Kazakhstan,Dissatisfaction with Spending Time in the City,"60.73
High",High
Kazakhstan,Dissatisfaction with Green and Parks in the City,"42.18
Moderate",Moderate
Kenya,Air Pollution,"57.87
Moderate",Moderate
Kenya,Drinking Water Pollution and Inaccessibility,"56.43
Moderate",Moderate
Kenya,Dissatisfaction with Garbage Disposal,"68.75
High",High
Kenya,Dirty and Untidy,"67.55
High",High
Kenya,Noise and Light Pollution,"48.80
Moderate",Moderate
Kenya,Water Pollution,"73.80
High",High
Kenya,Dissatisfaction with Spending Time in the City,"53.70
Moderate",Moderate
Kenya,Dissatisfaction with Green and Parks in the City,"43.10
Moderate",Moderate
Kiribati,Air Pollution,"100.00
Very High",Very High
Kiribati,Drinking Water Pollution and Inaccessibility,"75.00
High",High
Kiribati,Dissatisfaction with Garbage Disposal,"100.00
Very High",Very High
Kiribati,Dirty and Untidy,"100.00
Very High",Very High
Kiribati,Noise and Light Pollution,"75.00
High",High
Kiribati,Water Pollution,"75.00
High",High
Kiribati,Dissatisfaction with Spending Time in the City,"100.00
Very High",Very High
Kiribati,Dissatisfaction with Green and Parks in the City,"75.00
High",High
Kosovo,Air Pollution,"72.58
High",High
Kosovo,Drinking Water Pollution and Inaccessibility,"27.50
Low",Low
Kosovo,Dissatisfaction with Garbage Disposal,"58.62
Moderate",Moderate
Kosovo,Dirty and Untidy,"59.48
Moderate",Moderate
Kosovo,Noise and Light Pollution,"43.10
Moderate",Moderate
Kosovo,Water Pollution,"44.83
Moderate",Moderate
Kosovo,Dissatisfaction with Spending Time in the City,"49.14
Moderate",Moderate
Kosovo,Dissatisfaction with Green and Parks in the City,"71.43
High",High
Kuwait,Air Pollution,"69.87
High",High
Kuwait,Drinking Water Pollution and Inaccessibility,"39.49
Low",Low
Kuwait,Dissatisfaction with Garbage Disposal,"57.35
Moderate",Moderate
Kuwait,Dirty and Untidy,"57.97
Moderate",Moderate
Kuwait,Noise and Light Pollution,"50.74
Moderate",Moderate
Kuwait,Water Pollution,"52.78
Moderate",Moderate
Kuwait,Dissatisfaction with Spending Time in the City,"55.07
Moderate",Moderate
Kuwait,Dissatisfaction with Green and Parks in the City,"56.06
Moderate",Moderate
Kyrgyzstan,Air Pollution,"78.41
High",High
Kyrgyzstan,Drinking Water Pollution and Inaccessibility,"32.95
Low",Low
Kyrgyzstan,Dissatisfaction with Garbage Disposal,"59.15
Moderate",Moderate
Kyrgyzstan,Dirty and Untidy,"57.39
Moderate",Moderate
Kyrgyzstan,Noise and Light Pollution,"43.02
Moderate",Moderate
Kyrgyzstan,Water Pollution,"46.25
Moderate",Moderate
Kyrgyzstan,Dissatisfaction with Spending Time in the City,"62.50
High",High
Kyrgyzstan,Dissatisfaction with Green and Parks in the City,"34.52
Low",Low
Laos,Air Pollution,"71.59
High",High
Laos,Drinking Water Pollution and Inaccessibility,"49.39
Moderate",Moderate
Laos,Dissatisfaction with Garbage Disposal,"80.92
Very High",Very High
Laos,Dirty and Untidy,"68.12
High",High
Laos,Noise and Light Pollution,"55.62
Moderate",Moderate
Laos,Water Pollution,"73.75
High",High
Laos,Dissatisfaction with Spending Time in the City,"61.90
High",High
Laos,Dissatisfaction with Green and Parks in the City,"62.50
High",High
Latvia,Air Pollution,"29.08
Low",Low
Latvia,Drinking Water Pollution and Inaccessibility,"20.47
Low",Low
Latvia,Dissatisfaction with Garbage Disposal,"29.70
Low",Low
Latvia,Dirty and Untidy,"27.61
Low",Low
Latvia,Noise and Light Pollution,"36.58
Low",Low
Latvia,Water Pollution,"27.53
Low",Low
Latvia,Dissatisfaction with Spending Time in the City,"17.69
Very Low",Very Low
Latvia,Dissatisfaction with Green and Parks in the City,"11.60
Very Low",Very Low
Lebanon,Air Pollution,"77.64
High",High
Lebanon,Drinking Water Pollution and Inaccessibility,"71.61
High",High
Lebanon,Dissatisfaction with Garbage Disposal,"85.35
Very High",Very High
Lebanon,Dirty and Untidy,"71.84
High",High
Lebanon,Noise and Light Pollution,"65.48
High",High
Lebanon,Water Pollution,"80.38
Very High",Very High
Lebanon,Dissatisfaction with Spending Time in the City,"72.01
High",High
Lebanon,Dissatisfaction with Green and Parks in the City,"82.31
Very High",Very High
Lesotho,Air Pollution,"46.43
Moderate",Moderate
Lesotho,Drinking Water Pollution and Inaccessibility,"35.71
Low",Low
Lesotho,Dissatisfaction with Garbage Disposal,"82.14
Very High",Very High
Lesotho,Dirty and Untidy,"53.57
Moderate",Moderate
Lesotho,Noise and Light Pollution,"57.14
Moderate",Moderate
Lesotho,Water Pollution,"66.67
High",High
Lesotho,Dissatisfaction with Spending Time in the City,"45.83
Moderate",Moderate
Lesotho,Dissatisfaction with Green and Parks in the City,"35.71
Low",Low
Liberia,Air Pollution,"78.75
High",High
Liberia,Drinking Water Pollution and Inaccessibility,"70.83
High",High
Liberia,Dissatisfaction with Garbage Disposal,"77.27
High",High
Liberia,Dirty and Untidy,"81.25
Very High",Very High
Liberia,Noise and Light Pollution,"77.08
High",High
Liberia,Water Pollution,"93.18
Very High",Very High
Liberia,Dissatisfaction with Spending Time in the City,"76.56
High",High
Liberia,Dissatisfaction with Green and Parks in the City,"62.50
High",High
Libya,Air Pollution,"36.93
Low",Low
Libya,Drinking Water Pollution and Inaccessibility,"39.77
Low",Low
Libya,Dissatisfaction with Garbage Disposal,"60.23
High",High
Libya,Dirty and Untidy,"59.88
Moderate",Moderate
Libya,Noise and Light Pollution,"39.53
Low",Low
Libya,Water Pollution,"56.10
Moderate",Moderate
Libya,Dissatisfaction with Spending Time in the City,"42.26
Moderate",Moderate
Libya,Dissatisfaction with Green and Parks in the City,"56.55
Moderate",Moderate
Liechtenstein,Air Pollution,"6.25
Very Low",Very Low
Liechtenstein,Drinking Water Pollution and Inaccessibility,"0.00
Very Low",Very Low
Liechtenstein,Dissatisfaction with Garbage Disposal,"0.00
Very Low",Very Low
Liechtenstein,Dirty and Untidy,"6.25
Very Low",Very Low
Liechtenstein,Noise and Light Pollution,"18.75
Very Low",Very Low
Liechtenstein,Water Pollution,"0.00
Very Low",Very Low
Liechtenstein,Dissatisfaction with Spending Time in the City,"6.25
Very Low",Very Low
Liechtenstein,Dissatisfaction with Green and Parks in the City,"12.50
Very Low",Very Low
Lithuania,Air Pollution,"26.60
Low",Low
Lithuania,Drinking Water Pollution and Inaccessibility,"8.97
Very Low",Very Low
Lithuania,Dissatisfaction with Garbage Disposal,"28.86
Low",Low
Lithuania,Dirty and Untidy,"21.21
Low",Low
Lithuania,Noise and Light Pollution,"31.08
Low",Low
Lithuania,Water Pollution,"23.98
Low",Low
Lithuania,Dissatisfaction with Spending Time in the City,"17.32
Very Low",Very Low
Lithuania,Dissatisfaction with Green and Parks in the City,"13.81
Very Low",Very Low
Luxembourg,Air Pollution,"20.00
Low",Low
Luxembourg,Drinking Water Pollution and Inaccessibility,"18.18
Very Low",Very Low
Luxembourg,Dissatisfaction with Garbage Disposal,"17.59
Very Low",Very Low
Luxembourg,Dirty and Untidy,"19.55
Very Low",Very Low
Luxembourg,Noise and Light Pollution,"30.45
Low",Low
Luxembourg,Water Pollution,"20.45
Low",Low
Luxembourg,Dissatisfaction with Spending Time in the City,"16.92
Very Low",Very Low
Luxembourg,Dissatisfaction with Green and Parks in the City,"18.64
Very Low",Very Low
Macao,Air Pollution,"55.68
Moderate",Moderate
Macao,Drinking Water Pollution and Inaccessibility,"41.67
Moderate",Moderate
Macao,Dissatisfaction with Garbage Disposal,"68.06
High",High
Macao,Dirty and Untidy,"59.72
Moderate",Moderate
Macao,Noise and Light Pollution,"77.94
High",High
Macao,Water Pollution,"59.72
Moderate",Moderate
Macao,Dissatisfaction with Spending Time in the City,"57.50
Moderate",Moderate
Macao,Dissatisfaction with Green and Parks in the City,"66.67
High",High
Madagascar,Air Pollution,"74.31
High",High
Madagascar,Drinking Water Pollution and Inaccessibility,"73.44
High",High
Madagascar,Dissatisfaction with Garbage Disposal,"87.93
Very High",Very High
Madagascar,Dirty and Untidy,"82.81
Very High",Very High
Madagascar,Noise and Light Pollution,"46.88
Moderate",Moderate
Madagascar,Water Pollution,"80.83
Very High",Very High
Madagascar,Dissatisfaction with Spending Time in the City,"71.97
High",High
Madagascar,Dissatisfaction with Green and Parks in the City,"69.35
High",High
Malawi,Air Pollution,"42.86
Moderate",Moderate
Malawi,Drinking Water Pollution and Inaccessibility,"60.71
High",High
Malawi,Dissatisfaction with Garbage Disposal,"78.57
High",High
Malawi,Dirty and Untidy,"75.00
High",High
Malawi,Noise and Light Pollution,"35.71
Low",Low
Malawi,Water Pollution,"75.00
High",High
Malawi,Dissatisfaction with Spending Time in the City,"53.57
Moderate",Moderate
Malawi,Dissatisfaction with Green and Parks in the City,"62.50
High",High
Malaysia,Air Pollution,"52.77
Moderate",Moderate
Malaysia,Drinking Water Pollution and Inaccessibility,"43.94
Moderate",Moderate
Malaysia,Dissatisfaction with Garbage Disposal,"53.24
Moderate",Moderate
Malaysia,Dirty and Untidy,"52.98
Moderate",Moderate
Malaysia,Noise and Light Pollution,"49.25
Moderate",Moderate
Malaysia,Water Pollution,"61.24
High",High
Malaysia,Dissatisfaction with Spending Time in the City,"51.64
Moderate",Moderate
Malaysia,Dissatisfaction with Green and Parks in the City,"45.97
Moderate",Moderate
Maldives,Air Pollution,"61.03
High",High
Maldives,Drinking Water Pollution and Inaccessibility,"56.25
Moderate",Moderate
Maldives,Dissatisfaction with Garbage Disposal,"69.64
High",High
Maldives,Dirty and Untidy,"67.86
High",High
Maldives,Noise and Light Pollution,"52.78
Moderate",Moderate
Maldives,Water Pollution,"77.88
High",High
Maldives,Dissatisfaction with Spending Time in the City,"62.90
High",High
Maldives,Dissatisfaction with Green and Parks in the City,"69.44
High",High
Mali,Air Pollution,"85.00
Very High",Very High
Mali,Drinking Water Pollution and Inaccessibility,"50.00
Moderate",Moderate
Mali,Dissatisfaction with Garbage Disposal,"80.00
Very High",Very High
Mali,Dirty and Untidy,"90.00
Very High",Very High
Mali,Noise and Light Pollution,"43.75
Moderate",Moderate
Mali,Water Pollution,"62.50
High",High
Mali,Dissatisfaction with Spending Time in the City,"75.00
High",High
Mali,Dissatisfaction with Green and Parks in the City,"56.25
Moderate",Moderate
Malta,Air Pollution,"67.32
High",High
Malta,Drinking Water Pollution and Inaccessibility,"61.26
High",High
Malta,Dissatisfaction with Garbage Disposal,"61.83
High",High
Malta,Dirty and Untidy,"69.35
High",High
Malta,Noise and Light Pollution,"64.16
High",High
Malta,Water Pollution,"55.45
Moderate",Moderate
Malta,Dissatisfaction with Spending Time in the City,"60.98
High",High
Malta,Dissatisfaction with Green and Parks in the City,"77.70
High",High
Marshall_Islands,Air Pollution,"60.00
High",High
Marshall_Islands,Drinking Water Pollution and Inaccessibility,"85.00
Very High",Very High
Marshall_Islands,Dissatisfaction with Garbage Disposal,"90.00
Very High",Very High
Marshall_Islands,Dirty and Untidy,"100.00
Very High",Very High
Marshall_Islands,Noise and Light Pollution,"20.00
Low",Low
Marshall_Islands,Water Pollution,"100.00
Very High",Very High
Marshall_Islands,Dissatisfaction with Spending Time in the City,"83.33
Very High",Very High
Marshall_Islands,Dissatisfaction with Green and Parks in the City,"75.00
High",High
Martinique,Air Pollution,"47.50
Moderate",Moderate
Martinique,Drinking Water Pollution and Inaccessibility,"37.50
Low",Low
Martinique,Dissatisfaction with Garbage Disposal,"87.50
Very High",Very High
Martinique,Dirty and Untidy,"62.50
High",High
Martinique,Noise and Light Pollution,"62.50
High",High
Martinique,Water Pollution,"50.00
Moderate",Moderate
Martinique,Dissatisfaction with Spending Time in the City,"50.00
Moderate",Moderate
Martinique,Dissatisfaction with Green and Parks in the City,"87.50
Very High",Very High
Mauritania,Air Pollution,"70.83
High",High
Mauritania,Drinking Water Pollution and Inaccessibility,"58.33
Moderate",Moderate
Mauritania,Dissatisfaction with Garbage Disposal,"91.67
Very High",Very High
Mauritania,Dirty and Untidy,"87.50
Very High",Very High
Mauritania,Noise and Light Pollution,"62.50
High",High
Mauritania,Water Pollution,"50.00
Moderate",Moderate
Mauritania,Dissatisfaction with Spending Time in the City,"83.33
Very High",Very High
Mauritania,Dissatisfaction with Green and Parks in the City,"83.33
Very High",Very High
Mauritius,Air Pollution,"42.76
Moderate",Moderate
Mauritius,Drinking Water Pollution and Inaccessibility,"35.32
Low",Low
Mauritius,Dissatisfaction with Garbage Disposal,"51.98
Moderate",Moderate
Mauritius,Dirty and Untidy,"57.03
Moderate",Moderate
Mauritius,Noise and Light Pollution,"44.67
Moderate",Moderate
Mauritius,Water Pollution,"53.52
Moderate",Moderate
Mauritius,Dissatisfaction with Spending Time in the City,"50.70
Moderate",Moderate
Mauritius,Dissatisfaction with Green and Parks in the City,"59.38
Moderate",Moderate
Mexico,Air Pollution,"53.04
Moderate",Moderate
Mexico,Drinking Water Pollution and Inaccessibility,"42.79
Moderate",Moderate
Mexico,Dissatisfaction with Garbage Disposal,"47.77
Moderate",Moderate
Mexico,Dirty and Untidy,"54.79
Moderate",Moderate
Mexico,Noise and Light Pollution,"48.40
Moderate",Moderate
Mexico,Water Pollution,"55.34
Moderate",Moderate
Mexico,Dissatisfaction with Spending Time in the City,"42.75
Moderate",Moderate
Mexico,Dissatisfaction with Green and Parks in the City,"43.35
Moderate",Moderate
Micronesia,Air Pollution,"33.33
Low",Low
Micronesia,Drinking Water Pollution and Inaccessibility,"95.83
Very High",Very High
Micronesia,Dissatisfaction with Garbage Disposal,"91.67
Very High",Very High
Micronesia,Dirty and Untidy,"87.50
Very High",Very High
Micronesia,Noise and Light Pollution,"29.17
Low",Low
Micronesia,Water Pollution,"91.67
Very High",Very High
Micronesia,Dissatisfaction with Spending Time in the City,"70.83
High",High
Micronesia,Dissatisfaction with Green and Parks in the City,"75.00
High",High
Moldova,Air Pollution,"51.79
Moderate",Moderate
Moldova,Drinking Water Pollution and Inaccessibility,"53.18
Moderate",Moderate
Moldova,Dissatisfaction with Garbage Disposal,"64.29
High",High
Moldova,Dirty and Untidy,"62.95
High",High
Moldova,Noise and Light Pollution,"52.73
Moderate",Moderate
Moldova,Water Pollution,"62.27
High",High
Moldova,Dissatisfaction with Spending Time in the City,"42.27
Moderate",Moderate
Moldova,Dissatisfaction with Green and Parks in the City,"31.36
Low",Low
Monaco,Air Pollution,"71.00
High",High
Monaco,Drinking Water Pollution and Inaccessibility,"43.18
Moderate",Moderate
Monaco,Dissatisfaction with Garbage Disposal,"69.74
High",High
Monaco,Dirty and Untidy,"60.98
High",High
Monaco,Noise and Light Pollution,"86.59
Very High",Very High
Monaco,Water Pollution,"56.90
Moderate",Moderate
Monaco,Dissatisfaction with Spending Time in the City,"74.46
High",High
Monaco,Dissatisfaction with Green and Parks in the City,"70.51
High",High
Mongolia,Air Pollution,"87.12
Very High",Very High
Mongolia,Drinking Water Pollution and Inaccessibility,"53.70
Moderate",Moderate
Mongolia,Dissatisfaction with Garbage Disposal,"73.08
High",High
Mongolia,Dirty and Untidy,"71.30
High",High
Mongolia,Noise and Light Pollution,"47.73
Moderate",Moderate
Mongolia,Water Pollution,"67.92
High",High
Mongolia,Dissatisfaction with Spending Time in the City,"77.82
High",High
Mongolia,Dissatisfaction with Green and Parks in the City,"72.60
High",High
Montenegro,Air Pollution,"38.49
Low",Low
Montenegro,Drinking Water Pollution and Inaccessibility,"26.63
Low",Low
Montenegro,Dissatisfaction with Garbage Disposal,"56.82
Moderate",Moderate
Montenegro,Dirty and Untidy,"47.34
Moderate",Moderate
Montenegro,Noise and Light Pollution,"31.11
Low",Low
Montenegro,Water Pollution,"36.17
Low",Low
Montenegro,Dissatisfaction with Spending Time in the City,"29.63
Low",Low
Montenegro,Dissatisfaction with Green and Parks in the City,"44.02
Moderate",Moderate
Montserrat,Air Pollution,?,
Montserrat,Drinking Water Pollution and Inaccessibility,?,
Montserrat,Dissatisfaction with Garbage Disposal,?,
Montserrat,Dirty and Untidy,?,
Montserrat,Noise and Light Pollution,?,
Montserrat,Water Pollution,?,
Montserrat,Dissatisfaction with Spending Time in the City,?,
Montserrat,Dissatisfaction with Green and Parks in the City,?,
Morocco,Air Pollution,"62.46
High",High
Morocco,Drinking Water Pollution and Inaccessibility,"45.04
Moderate",Moderate
Morocco,Dissatisfaction with Garbage Disposal,"66.37
High",High
Morocco,Dirty and Untidy,"60.71
High",High
Morocco,Noise and Light Pollution,"54.11
Moderate",Moderate
Morocco,Water Pollution,"54.12
Moderate",Moderate
Morocco,Dissatisfaction with Spending Time in the City,"58.44
Moderate",Moderate
Morocco,Dissatisfaction with Green and Parks in the City,"59.23
Moderate",Moderate
Mozambique,Air Pollution,"45.83
Moderate",Moderate
Mozambique,Drinking Water Pollution and Inaccessibility,"79.00
High",High
Mozambique,Dissatisfaction with Garbage Disposal,"85.00
Very High",Very High
Mozambique,Dirty and Untidy,"80.00
Very High",Very High
Mozambique,Noise and Light Pollution,"47.00
Moderate",Moderate
Mozambique,Water Pollution,"72.92
High",High
Mozambique,Dissatisfaction with Spending Time in the City,"64.00
High",High
Mozambique,Dissatisfaction with Green and Parks in the City,"64.58
High",High
Myanmar,Air Pollution,"83.19
Very High",Very High
Myanmar,Drinking Water Pollution and Inaccessibility,"65.75
High",High
Myanmar,Dissatisfaction with Garbage Disposal,"87.68
Very High",Very High
Myanmar,Dirty and Untidy,"82.14
Very High",Very High
Myanmar,Noise and Light Pollution,"51.74
Moderate",Moderate
Myanmar,Water Pollution,"73.93
High",High
Myanmar,Dissatisfaction with Spending Time in the City,"76.04
High",High
Myanmar,Dissatisfaction with Green and Parks in the City,"66.55
High",High
Namibia,Air Pollution,"30.77
Low",Low
Namibia,Drinking Water Pollution and Inaccessibility,"33.33
Low",Low
Namibia,Dissatisfaction with Garbage Disposal,"35.14
Low",Low
Namibia,Dirty and Untidy,"35.00
Low",Low
Namibia,Noise and Light Pollution,"45.00
Moderate",Moderate
Namibia,Water Pollution,"44.08
Moderate",Moderate
Namibia,Dissatisfaction with Spending Time in the City,"28.21
Low",Low
Namibia,Dissatisfaction with Green and Parks in the City,"48.72
Moderate",Moderate
Nauru,Air Pollution,"100.00
Very High",Very High
Nauru,Drinking Water Pollution and Inaccessibility,"75.00
High",High
Nauru,Dissatisfaction with Garbage Disposal,"100.00
Very High",Very High
Nauru,Dirty and Untidy,"100.00
Very High",Very High
Nauru,Noise and Light Pollution,"50.00
Moderate",Moderate
Nauru,Water Pollution,"75.00
High",High
Nauru,Dissatisfaction with Spending Time in the City,"75.00
High",High
Nauru,Dissatisfaction with Green and Parks in the City,"75.00
High",High
Nepal,Air Pollution,"75.73
High",High
Nepal,Drinking Water Pollution and Inaccessibility,"64.41
High",High
Nepal,Dissatisfaction with Garbage Disposal,"75.00
High",High
Nepal,Dirty and Untidy,"72.68
High",High
Nepal,Noise and Light Pollution,"54.72
Moderate",Moderate
Nepal,Water Pollution,"75.59
High",High
Nepal,Dissatisfaction with Spending Time in the City,"68.42
High",High
Nepal,Dissatisfaction with Green and Parks in the City,"68.38
High",High
Netherlands,Air Pollution,"21.07
Low",Low
Netherlands,Drinking Water Pollution and Inaccessibility,"7.79
Very Low",Very Low
Netherlands,Dissatisfaction with Garbage Disposal,"20.61
Low",Low
Netherlands,Dirty and Untidy,"22.54
Low",Low
Netherlands,Noise and Light Pollution,"30.91
Low",Low
Netherlands,Water Pollution,"16.82
Very Low",Very Low
Netherlands,Dissatisfaction with Spending Time in the City,"12.17
Very Low",Very Low
Netherlands,Dissatisfaction with Green and Parks in the City,"17.47
Very Low",Very Low
New_Caledonia,Air Pollution,"55.00
Moderate",Moderate
New_Caledonia,Drinking Water Pollution and Inaccessibility,"25.00
Low",Low
New_Caledonia,Dissatisfaction with Garbage Disposal,"70.00
High",High
New_Caledonia,Dirty and Untidy,"70.00
High",High
New_Caledonia,Noise and Light Pollution,"45.00
Moderate",Moderate
New_Caledonia,Water Pollution,"55.00
Moderate",Moderate
New_Caledonia,Dissatisfaction with Spending Time in the City,"50.00
Moderate",Moderate
New_Caledonia,Dissatisfaction with Green and Parks in the City,"30.00
Low",Low
New_Zealand,Air Pollution,"17.38
Very Low",Very Low
New_Zealand,Drinking Water Pollution and Inaccessibility,"18.34
Very Low",Very Low
New_Zealand,Dissatisfaction with Garbage Disposal,"26.06
Low",Low
New_Zealand,Dirty and Untidy,"28.31
Low",Low
New_Zealand,Noise and Light Pollution,"37.94
Low",Low
New_Zealand,Water Pollution,"38.27
Low",Low
New_Zealand,Dissatisfaction with Spending Time in the City,"16.58
Very Low",Very Low
New_Zealand,Dissatisfaction with Green and Parks in the City,"17.99
Very Low",Very Low
Nicaragua,Air Pollution,"39.42
Low",Low
Nicaragua,Drinking Water Pollution and Inaccessibility,"50.93
Moderate",Moderate
Nicaragua,Dissatisfaction with Garbage Disposal,"69.79
High",High
Nicaragua,Dirty and Untidy,"71.15
High",High
Nicaragua,Noise and Light Pollution,"63.46
High",High
Nicaragua,Water Pollution,"73.08
High",High
Nicaragua,Dissatisfaction with Spending Time in the City,"48.08
Moderate",Moderate
Nicaragua,Dissatisfaction with Green and Parks in the City,"56.73
Moderate",Moderate
Niger,Air Pollution,"58.33
Moderate",Moderate
Niger,Drinking Water Pollution and Inaccessibility,"58.33
Moderate",Moderate
Niger,Dissatisfaction with Garbage Disposal,"50.00
Moderate",Moderate
Niger,Dirty and Untidy,"58.33
Moderate",Moderate
Niger,Noise and Light Pollution,"33.33
Low",Low
Niger,Water Pollution,"66.67
High",High
Niger,Dissatisfaction with Spending Time in the City,"41.67
Moderate",Moderate
Niger,Dissatisfaction with Green and Parks in the City,"41.67
Moderate",Moderate
Nigeria,Air Pollution,"79.49
High",High
Nigeria,Drinking Water Pollution and Inaccessibility,"64.29
High",High
Nigeria,Dissatisfaction with Garbage Disposal,"73.70
High",High
Nigeria,Dirty and Untidy,"73.06
High",High
Nigeria,Noise and Light Pollution,"70.97
High",High
Nigeria,Water Pollution,"79.35
High",High
Nigeria,Dissatisfaction with Spending Time in the City,"72.78
High",High
Nigeria,Dissatisfaction with Green and Parks in the City,"67.27
High",High
Niue,Air Pollution,"25.00
Low",Low
Niue,Drinking Water Pollution and Inaccessibility,"50.00
Moderate",Moderate
Niue,Dissatisfaction with Garbage Disposal,"75.00
High",High
Niue,Dirty and Untidy,"100.00
Very High",Very High
Niue,Noise and Light Pollution,"0.00
Very Low",Very Low
Niue,Water Pollution,"0.00
Very Low",Very Low
Niue,Dissatisfaction with Spending Time in the City,"75.00
High",High
Niue,Dissatisfaction with Green and Parks in the City,"75.00
High",High
North_Korea,Air Pollution,"56.25
Moderate",Moderate
North_Korea,Drinking Water Pollution and Inaccessibility,"68.75
High",High
